"iso3","country","region","year","gdp_bn","pop_mn","exports_bn","Vote Share"
"POL","Poland","Europe",2020,465.8,"44.1",141.8,35.8
"TUR","Turkey","Europe",1995,243,"58.0",44.2,35
"TUR","Turkey","Europe",1996,-99,"58.3",76.1,35
"TUR","Turkey","Europe",1997,243.7,"58.7",47.7,36
"TUR","Turkey","Europe",1998,294.2,"59.1",60.7,34.7
"TUR","Turkey","Europe",1999,304.2,"59.4",112,36
"TUR","Turkey","Europe",2000,345.2,"59.8",73.2,38
"TUR","Turkey","Europe",2001,329.9,"60.1",146.4,
"TUR","Turkey","Europe",2002,342.1,"60.5",100.2,34.3
"TUR","Turkey","Europe",2003,377.4,"60.8",102.5,37.3
"TUR","Turkey","Europe",2004,385.4,"61.2",69.1,36.7
"TUR","Turkey","Europe",2005,388.2,"..",150,36.4
"TUR","Turkey","Europe",2006,405.3,"61.9",137,43
"TUR","Turkey","Europe",2007,426.9,"62.3",36.8,35.8
"TUR","Turkey","Europe",2008,-99,"62.7",182.4,36.5
"TUR","Turkey","Europe",2009,492.5,"63.1",137.1,36.5
"TUR","Turkey","Europe",2010,470.9,"63.4",72.9,46.1
"TUR","Turkey","Europe",2011,498.2,"63.8",47.4,34.5
"TUR","Turkey","Europe",2012,546.8,"64.2",161.5,41.8
"TUR","Turkey","Europe",2013,541.2,"64.6",52.2,41.9
"TUR","Turkey","Europe",2014,574,"65.0",169.1,34.6
"TUR","Turkey","Europe",2015,650.8,"65.4",273.7,43.1
"TUR","Turkey","Europe",2016,610.4,"65.8",114.9,40.2
"TUR","Turkey","Europe",2017,651,"66.2",234.5,42.1
"TUR","Turkey","Europe",2018,741.7,"66.6*",256,31.7
"TUR","Turkey","Europe",2019,706.8,"67.0",244.2,35.4
"TUR","Turkey","Europe",2020,730.8,"67.4",62.6,37
"USA","United States","Americas",1995,9116.7,"266.0",1729.7,45.1
"USA","United States","Americas",1996,9475.1,"267.6",2204.7,44.2
"USA","United States","Americas",1997,9080.9,"269.2",1062.2,43.7
"USA","United States","Americas",1998,9513,"270.8",1789.8,46.9
"USA","United States","Americas",1999,9719.9,"272.4",3173.7,48.2
"USA","United States","Americas",2000,9515.3,"274.1",1697.8,51.1
"USA","United States","Americas",2001,10204.9,"275.7",1304.8,47.1
"USA","United States","Americas",2002,11328.1,"277.4",953,40.6
"USA","United States","Americas",2003,11109.2,"279.0",4967.2,39.6
"USA","United States","Americas",2004,10462.2,"280.7",2047.1,50.1
"USA","United States","Americas",2005,11275.6,"282.4",3118.2,43.5
"USA","United States","Americas",2006,11172.6,"284.1",3878.3,46.4
"USA","United States","Americas",2007,11455.1,"285.8",3561.5,46.7
"USA","United States","Americas",2008,12317.4,"287.5",2716.7,48.1
"USA","United States","Americas",2009,12409.7,"289.2",1255.1,43.8
"USA","United States","Americas",2010,12875.5,"291.0",3364,44.3
"USA","United States","Americas",2011,12841.1,"292.7",4344,47.3
"USA","United States","Americas",2012,12310.7,"294.5",3754.7,42.2
"USA","United States","Americas",2013,12761.8,"296.2",5137.9,44.6
"USA","United States","Americas",2014,12571.7,"298.0",2217.1,43
"USA","United States","Americas",2015,14067.4,"299.8",4366.2,41.5
"USA","United States","Americas",2016,14904.2,"301.6",1866.7,46.8
"USA","United States","Americas",2017,13110.2,"303.4",3581.6,47.3
"USA","United States","Americas",2018,14573.4,"305.2",6081.3,46.4
"USA","United States","Americas",2019,15205.2,"307.1",6511.9,47.5
"USA","United States","Americas",2020,14966.8,"..",3177.1,45.7
"ZAF","South Africa","Africa",1995,-99,"42.0",52.2,32.1
"ZAF","South Africa","Africa",1996,145.9,"42.3",21.6,26.6
"ZAF","South Africa","Africa",1997,167.4,"42.5",59,
"ZAF","South Africa","Africa",1998,158.9,"42.8",17.8,39.1
"ZAF","South Africa","Africa",1999,174.3,"43.0",69.2,37.1
"ZAF","South Africa","Africa",2000,162.7,"43.3",68.9,35.7
"ZAF","South Africa","Africa",2001,183.4,"43.5",57.7,34.2
"ZAF","South Africa","Africa",2002,180.7,"43.8",18.6,32.2
"ZAF","South Africa","Africa",2003,180.2,"44.1",81,34.5
"ZAF","South Africa","Africa",2004,195.1,"44.3",38.4,31.9
"ZAF","South Africa","Africa",2005,184.9,"44.6",58.4,36.6
"ZAF","South Africa","Africa",2006,189.2,"44.9",73.5,35.5
"ZAF","South Africa","Africa",2007,197,"45.1",78.3,34.1
"ZAF","South Africa","Africa",2008,200.6,"45.4",81.3,33.1
"ZAF","South Africa","Africa",2009,204.7,"45.7",78.5,35.4
"ZAF","South Africa","Africa",2010,209.1,"45.9",57.4,37.2
"ZAF","South Africa","Africa",2011,206.8,"46.2",75,39.8
"ZAF","South Africa","Africa",2012,231.6,"46.5",100.2,29.2
"ZAF","South Africa","Africa",2013,216.6,"46.8",85.8,31.9
"ZAF","South Africa","Africa",2014,222.4,"47.1",50.1,41.3
"ZAF","South Africa","Africa",2015,226.4,"47.3",71.5,33.9
"ZAF","South Africa","Africa",2016,262.7,"47.6",70.4,41.6
"ZAF","South Africa","Africa",2017,254.4,"47.9",22.8,31.8
"ZAF","South Africa","Africa",2018,260.8,"48.2",29.6,39.8
"ZAF","South Africa","Africa",2019,234.6,"48.5",37.1,31.1
"ZAF","South Africa","Africa",2020,259.9,"48.8",103.8,31.6
